miR,avg_PRI
hsa-mir-4532_-_2,0
hsa-mir-766-5p_+_1,1.775067441
hsa-mir-509-3-3p,0
hsa-mir-885-5p_-_1,1.487792942
hsa-mir-4516_-_1,0
hsa-mir-374a-3p,278.8697549
hsa-mir-150-5p,1800.643144
hsa-mir-23b-3p,6965.382282
hsa-mir-512-2-3p,0
hsa-mir-193a-3p,92.34447391
hsa-mir-188-5p,87.80941827
hsa-mir-592_-_1,0
hsa-mir-30d-5p_+_3,1.775067441
hsa-mir-30d-5p_+_1,2716.088127
hsa-mir-30d-5p_+_6,4.727157812
hsa-mir-30d-5p_+_7,4.262232075
hsa-mir-30d-5p_+_4,0
hsa-mir-30d-5p_+_5,0
hsa-mir-10b-3p_+_2,47.70708952
hsa-mir-15b-5p,736.2058929
hsa-mir-4791,9.002398691
hsa-mir-874_+_1,41.47934437
hsa-mir-516a-2-5p,0
hsa-mir-4425,0
hsa-mir-27a-3p_-_1,34.25665313
hsa-mir-522-5p,0
hsa-mir-205-5p,13.94344936
hsa-mir-29b-1-3p_+_6,7.980728214
hsa-mir-3117-3p_+_1,2.048154739
hsa-mir-663b_+_1,0
hsa-mir-708-5p,1459.560424
hsa-mir-10a-5p_-_1,168.5784889
hsa-mir-1287_+_1,0
hsa-mir-99b-5p_-_1,2.867416635
hsa-mir-214-3p_-_1,1278.387202
hsa-mir-214-3p_-_2,88.0184405
hsa-mir-1185-1-3p,92.40456623
hsa-mir-526b-5p,0
hsa-mir-376a-1-3p,232.7270899
hsa-mir-497-5p,4810.26618
hsa-mir-450a-2-3p_+_1,18.67591638
hsa-mir-1248_+_3,0
hsa-mir-1248_+_1,2.952730452
hsa-mir-320b-2_+_1,97.14187127
hsa-mir-320b-2_+_2,4.49012693
hsa-let-7b-5p_+_8,0
hsa-let-7b-5p_+_2,3.280811614
hsa-let-7b-5p_+_3,42.68844805
hsa-let-7b-5p_+_1,1521.307463
hsa-let-7b-5p_+_6,65.95504065
hsa-let-7b-5p_+_7,42.85908265
hsa-let-7b-5p_+_4,24.62811543
hsa-mir-365a-3p,189.8477584
hsa-mir-1249_-_1,0
hsa-mir-5589-3p,6.812995264
hsa-mir-145-5p_-_1,85.67854085
hsa-mir-644b-5p,29.41023933
hsa-mir-3150b-3p,0
hsa-mir-548at-5p,0
hsa-mir-520g_+_1,0
hsa-mir-221-3p_+_1,515.9037026
hsa-mir-30a-3p,3271.814128
hsa-mir-483-5p,132.2667579
hsa-mir-542-3p_-_1,66.35973452
hsa-mir-152,14547.03977
hsa-mir-381_-_1,21.69016189
hsa-mir-16-2-5p_+_4,1.804446388
hsa-mir-138-1-5p,0
hsa-mir-16-2-5p_+_8,11.91770215
hsa-mir-25-5p,113.5679437
hsa-mir-34a-5p_+_5,7.04797028
hsa-mir-34a-5p_+_4,7.69766434
hsa-mir-34a-5p_+_7,1.363810196
hsa-mir-34a-5p_+_1,1163.916237
hsa-mir-34a-5p_+_3,1.487792942
hsa-let-7e-3p_+_1,0
hsa-let-7i-5p_+_3,76.73689274
hsa-let-7i-5p_+_2,5.438954079
hsa-let-7i-5p_+_1,2054.835863
hsa-let-7i-5p_+_7,7.676764315
hsa-let-7i-5p_+_6,76.31919081
hsa-let-7i-5p_+_5,43.98770048
hsa-let-7i-5p_+_4,53.71569857
hsa-mir-199b-3p_-_2,32.47291831
hsa-mir-199b-3p_-_1,13201.39037
hsa-mir-199a-2-5p,2655.651007
hsa-mir-15a-5p,4630.288658
hsa-mir-155-5p_-_1,139.1222936
hsa-mir-502-5p_-_1,57.61539321
hsa-mir-502-5p_-_2,6.969673087
hsa-let-7g-5p_+_1,5799.791305
hsa-let-7g-5p_+_3,67.22819729
hsa-let-7g-5p_+_2,3.004216003
hsa-let-7g-5p_+_5,1.983723922
hsa-let-7g-5p_+_4,11.18120522
hsa-let-7g-5p_+_7,0
hsa-let-7g-5p_+_6,9.063356552
hsa-mir-200c-3p_+_4,0
hsa-mir-21-5p_+_6,13.00498918
hsa-mir-550a-2-3p,8.451281667
hsa-mir-25-3p,24591.36966
hsa-mir-3605-5p_-_2,13.53825613
hsa-mir-3605-5p_-_1,4.714596908
hsa-mir-99a-3p,369.4141455
hsa-mir-342-3p_+_2,110.467979
hsa-mir-342-3p_+_3,7.304781599
hsa-mir-342-3p_+_1,123.7397095
hsa-mir-342-3p_+_4,1.91161109
hsa-mir-1262,1.775067441
hsa-mir-1266,8.833317005
hsa-mir-4306,2.479654903
hsa-mir-629-5p,597.6794703
hsa-mir-339-3p_+_1,16.17906268
hsa-mir-3656,1.775067441
hsa-mir-4484_+_2,1.365436493
hsa-mir-4484_+_1,2.594329337
hsa-mir-374a-5p_-_1,1.968486968
hsa-mir-18a-5p,364.9958693
hsa-mir-370_-_1,14.12068046
hsa-mir-126-3p_+_2,360.545722
hsa-mir-126-3p_+_1,9615.342973
hsa-mir-126-3p_+_6,11.1757329
hsa-mir-126-3p_+_5,1.968486968
hsa-mir-126-3p_+_8,0
hsa-mir-139-5p_-_1,2.321242038
hsa-mir-3605-3p,159.1426261
hsa-mir-3913-2-5p_+_1,1.611775687
hsa-mir-128-1_+_2,39.92510669
hsa-mir-128-1_+_1,94.49747594
hsa-mir-24-1-3p,24084.6028
hsa-let-7a-1-5p,146723.1778
hsa-mir-1180,1105.097779
hsa-mir-644b-5p_-_1,1.638523792
hsa-mir-671-3p_-_1,4.546357157
hsa-mir-125a-5p_+_7,0
hsa-mir-125a-5p_+_3,0
hsa-mir-125a-5p_+_2,176.6450544
hsa-mir-320e_-_1,9.956878867
hsa-mir-21-5p_-_3,3.966120653
hsa-mir-21-5p_-_1,3983.368953
hsa-mir-99a-5p_+_1,6.826777614
hsa-mir-3909_-_1,3.758791363
hsa-mir-3064-5p,4.826018749
hsa-mir-143-3p_+_5,2.952730452
hsa-mir-454-3p_+_2,0
hsa-mir-214-3p,4147.909476
hsa-mir-3609_-_1,63.54472169
hsa-mir-324-3p_-_2,241.2852172
hsa-mir-3687_+_7,2.46060871
hsa-mir-3687_+_6,1.735758432
hsa-mir-3687_+_3,0
hsa-mir-3687_+_2,0
hsa-mir-3687_+_8,0
hsa-mir-1283-1_+_1,0
hsa-mir-106b-3p_-_3,0
hsa-mir-106b-3p_-_2,1299.977136
hsa-mir-106b-3p_-_1,145.796292
hsa-mir-193b-5p,215.2763553
hsa-mir-23a-5p,25.08244084
hsa-mir-192-3p_+_1,2.662297523
hsa-mir-3605-5p,34.1709311
hsa-mir-200c-3p,392.7683222
hsa-mir-320b-1_+_1,94.2697036
hsa-mir-335-5p,975.6855037
hsa-mir-511-1_-_1,1.611775687
hsa-mir-30e-3p,5888.035133
hsa-mir-133a-1_+_2,7.441122823
hsa-mir-133a-1_+_1,154.6250241
hsa-let-7e-5p,28829.87882
hsa-mir-887_+_2,1.638523792
hsa-mir-548aw,0
hsa-mir-374b-3p_+_1,1.363810196
hsa-mir-362-3p,30.91034085
hsa-mir-125b-1-5p_+_3,0
hsa-mir-320c-1,337.2649226
hsa-mir-92a-2-3p_+_6,45.12897762
hsa-mir-92a-2-3p_+_7,44.58475298
hsa-mir-92a-2-3p_+_4,104.0353536
hsa-mir-92a-2-3p_+_5,1.91161109
hsa-mir-92a-2-3p_+_2,172.6090141
hsa-mir-92a-2-3p_+_1,2748.924413
hsa-mir-92a-2-3p_+_8,3.262860383
hsa-mir-184,54.4702571
hsa-mir-27b-5p_-_1,24.61999658
hsa-mir-342-5p_+_5,0
hsa-mir-342-5p_+_1,270.4063922
hsa-mir-518a-1-3p_+_1,0
hsa-mir-491-5p_+_1,6.690638816
hsa-mir-491-5p_+_2,1.804446388
hsa-mir-151a-3p_+_2,13.07151133
hsa-mir-342-3p_-_1,2.321242038
hsa-mir-3614-3p,7.015123485
hsa-mir-133a-1,208.241104
hsa-mir-133a-2,208.241104
hsa-mir-299-3p_+_1,0
hsa-mir-339-3p,184.5785584
hsa-mir-410,319.8848278
hsa-mir-222-3p_-_2,0
hsa-mir-485-5p,89.76044552
hsa-mir-651_+_1,0
hsa-mir-449b-5p,1007.016591
hsa-mir-551b-3p,73.67531789
hsa-mir-32-5p_+_1,5.785657591
hsa-mir-3928_+_1,1.487792942
hsa-mir-3928_+_2,4.788336037
hsa-mir-5001-3p,17.8532972
hsa-mir-32-3p,220.8202897
hsa-mir-487b_+_1,69.98414048
hsa-mir-487b_+_2,155.6128311
hsa-mir-30c-1-3p_+_1,14.59476974
hsa-mir-185-5p,1647.323644
hsa-mir-1292,18.85244642
hsa-mir-1291,3.116771033
hsa-mir-1296,110.4546537
hsa-mir-1294,30.41909247
hsa-mir-5699_+_3,0
hsa-mir-122-3p_-_1,231.875381
hsa-mir-122-3p_-_2,1.968486968
hsa-mir-122-3p_-_3,6.665236866
hsa-mir-222-3p_-_1,17.43315483
hsa-mir-3691-5p_-_1,1.487792942
hsa-mir-511-2_-_1,1.611775687
hsa-mir-4449_-_5,0
hsa-mir-4449_-_7,1.501980142
hsa-mir-376a-1-3p_+_1,3.106013777
hsa-mir-551a,0
hsa-mir-10a-5p_+_5,0
hsa-mir-93-3p_-_1,1.804446388
hsa-mir-93-3p_-_2,4.099132502
hsa-mir-3912,16.78052958
hsa-mir-211-5p,0
hsa-mir-532-5p_+_1,157.4021231
hsa-let-7c_-_1,467.2707973
hsa-let-7c_-_2,13.69753129
hsa-mir-19b-2-3p_-_1,31.74270806
hsa-mir-181b-1-5p,8144.315223
hsa-mir-126-3p,15217.10544
hsa-mir-19b-2-5p,0
hsa-mir-4516_+_3,7.077881973
hsa-mir-4516_+_2,13.37418476
hsa-mir-4516_+_1,35.24861896
hsa-mir-450a-2-5p,38.02478419
hsa-mir-450b-5p,105.0631405
hsa-mir-181b-2-5p,10159.42937
hsa-mir-760,9.861270523
hsa-mir-148a-3p_+_8,0
hsa-mir-148a-3p_+_7,0
hsa-mir-148a-3p_+_5,0
hsa-mir-148a-3p_+_2,334.4160638
hsa-mir-148a-3p_+_3,0
hsa-mir-148a-3p_+_1,430.6921926
hsa-mir-191-3p_-_1,0
hsa-mir-101-1-3p_-_2,1.735758432
hsa-mir-101-1-3p_-_1,3028.066054
hsa-mir-26a-2-5p_+_5,3.579513828
hsa-mir-26a-2-5p_+_4,14.28496745
hsa-mir-26a-2-5p_+_6,0
hsa-mir-26a-2-5p_+_1,2626.621666
hsa-mir-26a-2-5p_+_3,53.51163032
hsa-mir-26a-2-5p_+_2,221.2057408
hsa-mir-150-5p_+_4,0
hsa-mir-330-3p_+_2,7.968852598
hsa-mir-32-5p_-_1,7.684553033
hsa-mir-518e-3p_-_1,0
hsa-mir-885-3p_+_1,8.8485891
hsa-mir-708-5p_-_1,1.804446388
hsa-mir-28-5p_+_1,32.77854302
hsa-mir-181a-1-5p,38211.37932
hsa-mir-27a-3p,7364.420062
hsa-mir-200a-3p_-_1,1.611775687
hsa-mir-516a-1-5p,0
hsa-mir-24-2-3p,23931.73118
hsa-mir-423-5p_-_1,4.727157812
hsa-mir-504_-_1,1.775067441
hsa-mir-128-2_-_1,16.97140351
hsa-mir-4488_+_3,0
hsa-mir-320b-2_-_1,74.12042952
hsa-mir-26a-2-5p,236421.0654
hsa-mir-24-1-5p_-_1,71.63136538
hsa-mir-550a-2-3p_+_1,1.501980142
hsa-mir-423-3p_-_2,50.07411561
hsa-mir-5010-3p,34.12816268
hsa-mir-3200-5p,0
hsa-mir-24-1-3p_+_5,0
hsa-mir-222-5p,0
hsa-mir-195-3p_+_1,22.28948559
hsa-mir-145-5p,45259.64763
hsa-let-7a-3-5p,145982.9731
hsa-mir-107_-_1,41.34809813
hsa-mir-589-3p_+_2,0
hsa-mir-374a-5p,685.9057578
hsa-mir-365b-3p,190.2573893
hsa-mir-101-2-3p_-_2,1.735758432
hsa-mir-101-2-3p_-_1,3043.736454
hsa-mir-365a-5p_+_1,7.346608957
hsa-mir-193a-5p,738.9237212
hsa-mir-411-5p_-_1,583.1916688
hsa-mir-3609,52.99938924
hsa-mir-675-5p_-_3,0
hsa-mir-520d-3p,0
hsa-mir-592,22.65239256
hsa-mir-598,375.9224129
hsa-mir-153-2,1.487792942
hsa-mir-153-1,1.487792942
hsa-mir-29c-3p_-_1,41.53740947
hsa-mir-29c-3p_-_2,2.107706667
hsa-mir-3944-5p,0
hsa-mir-98,15178.7945
hsa-mir-409-3p_+_2,0
hsa-mir-409-3p_+_1,138.9135706
hsa-mir-320c-2_+_1,22.51598275
hsa-mir-144-3p_+_1,0
hsa-mir-151a-5p,3649.184324
hsa-mir-192-5p,89327.74746
hsa-mir-101-1-5p_-_1,26.09436707
hsa-mir-103a-2-3p,37565.06339
