miR,avg_Intra_FLC
hsa-mir-3168_+_1,0
hsa-mir-3168,0
hsa-mir-206_+_1,0
hsa-mir-3168_+_3,0
hsa-mir-4516_-_1,0
hsa-mir-3168_+_2,0
hsa-mir-3648_+_5,0
hsa-mir-483-5p,0
hsa-mir-4508_-_1,3.321158368
hsa-mir-4516_-_2,0
hsa-mir-4516_+_3,0
hsa-mir-122-5p,4.064784845
hsa-mir-122-5p_+_1,0
hsa-mir-99a-5p_+_3,0
hsa-mir-184_+_1,0
hsa-mir-486-5p_+_2,0
hsa-mir-483-5p_+_1,0
hsa-mir-3178_-_1,0.637394124
hsa-mir-885-3p,0
hsa-mir-4516_-_3,0
hsa-mir-184,4.430307889
hsa-mir-4516_+_2,0
hsa-mir-4516,2.311951005
hsa-mir-4516_+_1,0.637394124
hsa-mir-148b-3p,1360.504577
hsa-mir-486-5p,16.73811651
hsa-mir-1248,2265.812868
hsa-mir-4492,29.50975783
hsa-mir-4508,0.690510301
hsa-mir-128-1,713.7814023
hsa-mir-128-2,677.2957168
hsa-mir-4508_-_2,3.195123889
hsa-mir-3648_+_6,0
hsa-mir-15a-5p,617.5693843
hsa-mir-150-5p,0
hsa-mir-20a-5p,551.9259614
hsa-mir-543_+_3,0
hsa-let-7i-5p_+_1,519.9637653
hsa-mir-99a-5p_+_4,8.933534078
hsa-mir-3687_-_4,0
hsa-mir-3656_+_2,0
hsa-mir-432-5p,0
hsa-mir-4449,0
hsa-mir-454-3p,446.6415639
hsa-mir-4667-5p,0
hsa-mir-4508_+_1,0
hsa-let-7i-3p_+_1,0
hsa-mir-10b-5p_-_1,1.009207363
hsa-mir-197-3p_+_1,0
hsa-mir-4492_-_1,0
hsa-mir-106b-5p,316.3652809
hsa-mir-185-5p,308.9658165
hsa-mir-5587-5p,0
hsa-mir-4485_+_1,640.7938905
hsa-mir-503,287.2620338
hsa-mir-30b-5p,292.363511
hsa-mir-24-2-5p_-_1,281.9627659
hsa-mir-106b-3p_-_2,282.5955116
hsa-mir-26a-2-5p_+_1,273.5482836
hsa-mir-26a-1-5p_+_1,273.0567261
hsa-mir-16-2-5p_+_1,277.2829624
hsa-mir-16-1-5p_+_1,276.4925099
hsa-mir-625-5p_+_6,0
hsa-mir-3656,0
hsa-mir-532-3p,280.0228495
hsa-mir-4488_+_1,0
hsa-mir-4488,0.690510301
hsa-mir-30a-3p_+_1,245.7228685
hsa-mir-4449_+_2,0
hsa-let-7a-2-3p_-_4,0
hsa-mir-22-5p,233.8786527
hsa-mir-671-3p,234.8605964
hsa-mir-1269a,0
hsa-mir-4492_+_2,0
hsa-mir-375,67.50762649
hsa-mir-152_+_1,210.2808665
hsa-mir-3196_-_4,0
hsa-mir-641_-_8,0
hsa-mir-34a-5p_+_1,194.4692533
hsa-mir-29b-2-3p,205.1250925
hsa-mir-663b_+_5,0
hsa-mir-194-2-3p,192.8715714
hsa-mir-29b-1-3p,201.6841898
hsa-let-7i-5p_-_1,187.4765579
hsa-mir-504_+_1,0.743626478
hsa-mir-93-5p_+_1,171.3632551
hsa-mir-194-2-5p_+_1,170.5576583
hsa-mir-218-1-5p,164.621688
hsa-mir-218-2-5p,163.7385151
hsa-mir-148a-3p_+_1,152.4441104
hsa-mir-5590-5p_-_6,0
hsa-mir-149-3p_-_4,0
hsa-mir-193b-3p,162.8469491
hsa-mir-10b-5p,1004.977971
hsa-mir-215_+_1,145.7300374
hsa-mir-181b-2-5p_+_1,144.3196688
hsa-mir-222-3p_+_1,143.7649787
hsa-mir-4508_+_2,2.889938756
hsa-mir-214-3p,146.9423849
hsa-mir-27b-5p,131.8893212
hsa-mir-194-2-5p,5599.486318
hsa-mir-148b-5p_-_1,122.1909566
hsa-mir-375_-_1,4.855237304
hsa-mir-324-3p_-_2,115.581253
hsa-mir-181b-1-5p_+_1,114.541065
hsa-mir-374b-5p,114.9205611
hsa-mir-27a-3p_+_1,110.6782582
hsa-mir-29b-2-5p,109.5726042
hsa-let-7f-2-5p_-_1,109.9637584
hsa-let-7a-3-5p_-_1,103.4952337
hsa-mir-103a-2-3p_+_1,99.78012649
hsa-mir-103a-1-3p_+_1,99.35519708
hsa-mir-140-3p_+_2,93.9238351
hsa-mir-497-5p,92.52930257
hsa-mir-32-5p,91.29784472
hsa-mir-25-3p_+_1,89.35933946
hsa-mir-1248_+_1,132.7165648
hsa-mir-30b-3p,82.54695688
hsa-mir-890,81.88440197
hsa-mir-10b-5p_+_1,249.6688313
hsa-let-7d-5p_-_1,78.73610406
hsa-mir-374a-5p,76.0325377
hsa-mir-941-4,76.47563673
hsa-mir-941-3,76.47563673
hsa-mir-941-1,76.47563673
hsa-mir-194-1-5p_+_1,73.70078457
hsa-mir-182-5p_+_1,73.12815547
hsa-mir-425-5p_+_1,73.25884764
hsa-mir-582-5p,72.72395972
hsa-mir-34a-5p,2910.031171
hsa-mir-379-5p,72.63729892
hsa-mir-15b-5p,70.61189303
hsa-mir-34a-5p_-_1,69.6099074
hsa-mir-5701-2_+_3,106.5747913
hsa-mir-5701-1_+_3,106.5747913
hsa-mir-29a-3p,4013.547481
hsa-mir-218-1-3p_-_4,0.743626478
hsa-mir-301a-3p,66.53802338
hsa-mir-33b-5p,67.29189677
hsa-mir-3609,69.67513357
hsa-mir-190b,1185.321402
hsa-mir-3065-5p,64.43574247
hsa-mir-452-5p,63.79298969
hsa-mir-361-3p_+_1,62.57154818
hsa-mir-1248_-_1,84.06565154
hsa-mir-4497_+_1,2.311951005
hsa-mir-100-5p_+_4,20.31670249
hsa-mir-32-3p,60.20904505
hsa-mir-362-5p,63.15791977
hsa-mir-374a-3p,59.76524504
hsa-mir-888-5p_+_1,60.35697529
hsa-mir-139-3p_-_1,58.97316008
hsa-mir-29b-1-5p,60.01265631
hsa-mir-671-5p,58.47158621
hsa-mir-409-3p,10.99877478
hsa-let-7f-1-5p_-_1,58.30035826
hsa-mir-210_-_1,56.6097254
hsa-mir-4485,76.3465678
hsa-mir-98_+_1,55.045828
hsa-mir-127-3p,102.5242286
hsa-mir-17-3p,52.97988632
hsa-mir-148a-3p_-_1,52.67470119
hsa-mir-30d-3p,52.08506458
hsa-mir-145-5p,55.99259454
hsa-mir-3607-5p,56.89021089
hsa-mir-21-5p_+_4,51.25664038
hsa-mir-22-3p_+_2,52.60062078
hsa-mir-206,3.87748092
hsa-mir-375_+_1,0.849858832
hsa-mir-892a_+_1,50.59338451
hsa-mir-148a-3p_+_2,49.65872795
hsa-mir-29a-3p_+_5,49.27526586
hsa-mir-338-3p,52.41867551
hsa-mir-17-5p,801.5391217
hsa-mir-29c-5p,50.90858599
hsa-mir-542-3p,49.22587583
hsa-mir-320a_+_2,544.5194873
hsa-let-7f-2-5p_+_3,48.66187041
hsa-mir-1246_+_1,10.92492495
hsa-mir-361-3p,1186.84054
hsa-mir-106b-3p_-_1,46.11508853
hsa-let-7f-1-5p_+_3,47.39337236
hsa-let-7c_+_3,16.11866144
hsa-let-7a-1-3p,44.30214735
hsa-let-7a-3-3p,44.30214735
hsa-let-7a-2-5p_-_1,44.36039162
hsa-mir-16-2-5p_-_1,44.47920436
hsa-mir-27a-5p,43.54500894
hsa-mir-34c-5p_+_1,42.90132462
hsa-mir-103a-2-3p,11746.54691
hsa-mir-378c,41.83527493
hsa-let-7i-5p_+_3,42.7794867
hsa-mir-200b-5p,41.71553065
hsa-mir-103a-2-3p_-_1,41.56154078
hsa-mir-103a-1-3p_-_1,41.17621561
hsa-mir-194-1-5p,2171.079019
hsa-mir-3928,40.8549545
hsa-mir-628-3p_-_1,1.381020601
hsa-mir-99b-3p,40.53625744
hsa-let-7a-2-5p_+_3,42.504821
hsa-let-7a-1-5p_+_3,42.504821
hsa-let-7a-3-5p_+_3,42.2923563
hsa-mir-454-3p_+_1,40.87359452
hsa-mir-1275,39.98529355
hsa-mir-24-1-3p_+_2,39.58179876
hsa-mir-24-2-3p_+_2,38.94440464
hsa-mir-320a_+_4,38.45564173
hsa-mir-29b-2-5p_-_1,38.55651543
hsa-mir-221-3p_-_1,38.43933519
hsa-mir-181a-1-5p_+_1,38.34568323
hsa-mir-190a,38.42489172
hsa-mir-181a-2-5p_+_1,38.23945087
hsa-let-7e-5p_+_1,37.90281476
hsa-mir-424-5p,38.07311118
hsa-mir-382-5p,37.83968224
hsa-mir-28-3p_+_2,37.09885037
hsa-mir-92a-1-5p,37.07997979
hsa-mir-664-5p_+_1,37.05295593
hsa-mir-103a-1-3p,11657.49998
hsa-mir-16-2-3p,37.04223861
hsa-mir-148b-3p_+_1,36.50012896
hsa-let-7a-1-5p_-_1,36.67741654
hsa-mir-3607-3p_-_6,37.13775365
hsa-mir-15a-5p_+_1,35.82313059
hsa-mir-330-5p,34.86261228
hsa-mir-3609_-_1,34.85725362
hsa-mir-18a-5p,34.28276146
hsa-mir-214-5p,34.6186966
hsa-mir-31-5p_+_1,34.07029675
hsa-mir-3607-3p_-_8,41.35489586
hsa-mir-125b-2-3p_+_2,33.60669462
hsa-mir-708-5p,37.30082833
hsa-mir-20a-5p_+_1,33.70384217
hsa-mir-744-5p_+_1,33.39609299
hsa-mir-10a-5p,930.1913628
hsa-mir-1295a,32.91618432
hsa-let-7c_+_2,0.849858832
hsa-mir-590-3p,32.55066128
hsa-mir-4728-3p,33.13330672
hsa-mir-135b-5p,31.44151176
hsa-mir-29c-3p_+_5,31.96917794
hsa-mir-328,420.88601
hsa-mir-27b-3p_+_2,31.02916273
hsa-mir-1246_-_1,0.743626478
hsa-mir-9-1-5p_+_1,30.30440684
hsa-mir-9-2-5p_+_1,29.72641909
hsa-mir-9-3-5p_+_1,29.72641909
hsa-mir-1908,29.78232988
hsa-mir-4485_-_3,37.42243569
hsa-mir-194-2-5p_-_1,29.67702906
hsa-mir-200a-5p,29.2700387
